#{"t_start": 1708508373.914248, "env_id": "None"}
r,l,t
-64.0,51,0.051975
-63.0,51,0.071564
-62.0,51,0.090373
-60.0,51,0.106715
-66.0,51,0.122587
-62.0,51,0.141275
-62.0,51,0.161598
-58.0,51,0.178885
-63.0,51,0.19585
-61.0,51,0.211839
-60.0,51,0.228658
-61.0,51,0.248265
-61.0,51,0.264885
-60.0,51,0.282095
-58.0,51,0.298215
-60.0,51,0.315334
-65.0,51,0.332415
-61.0,51,0.349173
-61.0,51,0.367643
-62.0,51,0.383336
-61.0,51,0.398918
-61.0,51,0.416352
-62.0,51,0.432351
-62.0,51,0.448108
-60.0,51,0.467349
-63.0,51,0.487482
10.0,1,0.487943
-62.0,51,0.508494
-62.0,51,0.524924
-62.0,51,0.540978
-61.0,51,0.556887
-61.0,51,0.576152
-63.0,51,0.596324
-62.0,51,0.612246
-59.0,51,0.628222
-62.0,51,0.644467
-60.0,51,0.660985
-60.0,51,0.677432
-64.0,51,0.693265
-63.0,51,0.712826
-63.0,51,0.729857
-63.0,51,0.745139
-60.0,51,0.760348
-60.0,51,0.777819
-63.0,51,0.792824
-61.0,51,0.810601
-67.0,51,0.827801
-60.0,51,0.844392
-62.0,51,0.860337
-63.0,51,0.876873
-61.0,51,0.893923
-64.0,51,0.911286
-66.0,51,0.930063
-65.0,51,0.94722
-61.0,51,0.966292
-63.0,51,0.984029
-62.0,51,1.000514
-62.0,51,1.017273
-67.0,51,1.038203
10.0,1,0.008395
10.0,1,0.028402
10.0,1,0.051689
10.0,1,0.085146
10.0,1,0.086432
10.0,1,0.087176
10.0,1,0.087826
10.0,1,0.088525
10.0,1,0.089178
10.0,1,0.090319
10.0,1,0.091275
10.0,1,0.111847
10.0,1,0.131337
10.0,1,0.155431
10.0,1,0.167018
10.0,1,0.179062
10.0,1,0.190346
10.0,1,0.202443
10.0,1,0.203171
10.0,1,0.218302
10.0,1,0.219158
10.0,1,0.2857
10.0,1,0.28645
10.0,1,0.287113
10.0,1,0.287969
10.0,1,0.288533
10.0,1,0.312012
10.0,1,0.312579
10.0,1,0.313121
10.0,1,0.313705
10.0,1,0.314248
10.0,1,0.314783
10.0,1,0.361691
10.0,1,0.374877
10.0,1,0.398554
10.0,1,0.399124
10.0,1,0.399714
10.0,1,0.413221
10.0,1,0.413788
10.0,1,0.414338
10.0,1,0.427816
10.0,1,0.428937
10.0,1,0.429875
10.0,1,0.430602
10.0,1,0.443308
10.0,1,0.457403
10.0,1,0.487204
10.0,1,0.48803
10.0,1,0.488815
10.0,1,0.489512
10.0,1,0.52705
10.0,1,0.527656
10.0,1,0.528189
10.0,1,0.528995
10.0,1,0.529572
10.0,1,0.583584
10.0,1,0.584288
10.0,1,0.585084
10.0,1,0.585799
10.0,1,0.001749
10.0,1,0.039196
10.0,1,0.075411
10.0,1,0.087681
10.0,1,0.088253
10.0,1,0.088793
10.0,1,0.123655
10.0,1,0.176827
10.0,1,0.24264
10.0,1,0.255127
10.0,1,0.255878
10.0,1,0.25657
10.0,1,0.26899
10.0,1,0.36905
10.0,1,0.369617
10.0,1,0.370237
10.0,1,0.383834
10.0,1,0.420949
10.0,1,0.469461
10.0,1,0.470025
10.0,1,0.505652
10.0,1,0.506472
10.0,1,0.555316
10.0,1,0.555884
10.0,1,0.581722
10.0,1,0.582334
10.0,1,0.623072
10.0,1,0.62362
10.0,1,0.64814
10.0,1,0.648788
10.0,1,0.661717
10.0,1,0.780977
10.0,1,0.79231
10.0,1,0.80603
10.0,1,0.118377
10.0,1,0.320385
10.0,1,0.32563
10.0,1,0.421206
10.0,1,0.421765
10.0,1,0.491661
10.0,1,0.663914
10.0,1,0.727638
10.0,1,0.728211
10.0,1,0.740867
10.0,1,0.89857
10.0,1,0.466291
10.0,1,0.610425
10.0,1,0.647883
10.0,1,0.786391
10.0,1,0.968496
10.0,1,0.259855
10.0,1,1.161722
10.0,1,1.151499
