#{"t_start": 1707908573.360702, "env_id": "None"}
r,l,t
-37.0,48,0.097851
-54.0,65,0.160143
-22.0,28,0.184842
-93.0,99,0.27545
-81.0,87,0.355301
-127.0,138,0.479182
-191.0,197,0.670682
-47.0,58,0.725384
-65.0,76,0.802331
-53.0,59,0.854736
-69.0,75,0.926566
-107.0,118,1.038727
-144.0,155,1.183608
-122.0,128,1.30388
-160.0,171,1.45821
-48.0,59,1.511428
-99.0,110,1.613318
-81.0,92,1.697276
-49.0,55,1.746877
-90.0,101,1.840348
-102.0,113,1.942116
-30.0,41,2.968307
-79.0,85,3.062976
-18.0,29,3.100602
-132.0,143,3.236504
-170.0,181,3.387549
-85.0,91,3.46669
-171.0,182,3.624321
-61.0,72,3.685233
-47.0,58,3.737485
-52.0,58,3.787401
-9.0,20,3.805455
-85.0,91,3.887517
-87.0,98,3.987982
-6.0,17,4.006397
-15.0,21,4.029639
-60.0,71,4.101997
-89.0,95,4.195173
-109.0,115,4.311398
-58.0,64,4.373026
-32.0,43,4.411194
-247.0,258,4.650725
-14.0,25,4.677359
-30.0,36,4.713682
-148.0,159,4.851883
-143.0,154,5.955242
-31.0,42,5.989181
-44.0,50,6.035639
-216.0,222,6.217763
-52.0,63,6.275207
-82.0,93,6.355105
-38.0,44,6.392358
-146.0,157,6.522443
-41.0,52,6.570839
-19.0,25,6.592465
-237.0,243,6.800788
-96.0,107,6.893313
-60.0,66,6.94781
-45.0,51,6.992937
-9.0,20,7.010976
-72.0,83,7.086107
-40.0,46,7.126359
-119.0,125,7.230418
-19.0,25,7.25127
-67.0,73,7.31336
-86.0,97,7.396914
-135.0,141,7.519225
-22.0,28,7.542862
-58.0,64,8.530952
-99.0,110,8.632365
-137.0,148,8.758471
-60.0,66,8.813897
-3.0,14,8.83005
-87.0,93,8.913927
-173.0,184,9.080413
-85.0,91,9.158363
-39.0,50,9.204545
-54.0,65,9.25999
-70.0,81,9.330187
-47.0,58,9.377128
-87.0,98,9.459432
-113.0,119,9.564345
-82.0,88,9.642562
-91.0,97,9.725157
-147.0,158,9.861084
-52.0,58,9.91775
-286.0,292,10.166037
-77.0,88,10.243012
-90.0,96,11.244337
-80.0,91,11.327081
-25.0,31,11.352982
-58.0,69,11.413525
-76.0,87,11.488802
-26.0,32,11.516878
-84.0,95,11.597339
-25.0,31,11.623397
-81.0,92,11.699864
-30.0,36,11.729513
-46.0,57,11.776712
-24.0,30,11.80741
-84.0,95,11.893096
-44.0,55,11.944354
-61.0,67,11.999505
-253.0,259,12.22134
-34.0,40,12.256081
-60.0,71,12.312259
-68.0,79,12.385674
-53.0,64,12.440978
-114.0,125,12.548257
-101.0,107,12.641375
-40.0,46,12.682898
-146.0,152,12.882608
-26.0,32,12.915604
-13.0,19,12.935074
-117.0,123,13.040343
-109.0,120,14.27402
-14.0,25,14.29657
-53.0,59,14.356322
-12.0,23,14.379507
-52.0,58,14.437558
-43.0,49,14.48293
-38.0,44,14.523715
-67.0,78,14.599226
-94.0,105,14.701854
-122.0,133,14.834305
-28.0,34,14.86936
-19.0,25,14.898528
-62.0,73,14.967771
-64.0,70,15.030847
-34.0,40,15.074314
-91.0,102,15.171864
-26.0,32,15.20726
-78.0,84,15.302853
-19.0,25,15.325553
-30.0,36,15.357461
-10.0,16,15.375433
-40.0,46,15.423595
-96.0,107,15.540836
-78.0,89,15.626299
-100.0,111,15.729149
-41.0,52,15.776441
-57.0,68,15.847646
-70.0,81,15.924968
-82.0,93,16.02459
-100.0,111,16.136199
-10.0,21,16.158656
-47.0,53,16.215133
-33.0,44,17.582421
-198.0,204,17.779173
-109.0,115,17.891096
-118.0,129,18.014161
-63.0,69,18.080555
-54.0,65,18.14669
-87.0,98,18.240766
-28.0,39,18.276912
-9.0,15,18.290824
-118.0,129,18.416122
-12.0,18,18.433855
-52.0,58,18.493072
-53.0,59,18.549849
-80.0,91,18.642554
-64.0,75,18.711643
-47.0,58,18.766082
-146.0,157,18.91982
-27.0,38,19.001566
-18.0,29,19.031969
-113.0,124,19.144031
-55.0,66,19.208176
-34.0,45,19.249813
-42.0,53,19.302453
-66.0,77,19.371699
-50.0,56,19.424627
-44.0,50,19.469087
-158.0,169,20.62754
-62.0,73,20.689452
6.0,5,20.69344
-64.0,75,20.761294
-97.0,108,20.851804
-60.0,66,20.906207
-94.0,100,20.992893
-26.0,37,21.025349
-43.0,49,21.068816
-96.0,102,21.161616
-44.0,50,21.20241
-5.0,11,21.21159
-70.0,81,21.284299
-76.0,87,21.357753
-27.0,33,21.387152
-56.0,67,21.442162
-15.0,21,21.462111
-23.0,34,21.491
-47.0,58,21.540763
-75.0,81,21.614196
-136.0,142,21.736485
-18.0,29,21.763327
-19.0,25,21.7885
-125.0,136,21.908532
-110.0,121,22.01241
-24.0,35,22.041741
-21.0,32,22.06826
-106.0,112,22.168663
-22.0,33,22.198419
-51.0,57,22.24822
-28.0,34,22.280244
-53.0,64,22.339281
-31.0,42,23.297807
-80.0,91,23.377009
-38.0,49,23.42172
-36.0,42,23.457921
-58.0,64,23.511911
-4.0,10,23.520422
-77.0,88,23.597055
-16.0,22,23.615648
-89.0,95,23.700102
-82.0,93,23.781537
-6.0,17,23.797314
-37.0,43,23.833241
-112.0,123,23.939383
-61.0,67,24.000008
-20.0,26,24.021454
-17.0,23,24.040373
-45.0,51,24.086538
-185.0,196,24.253876
-45.0,51,24.298474
-78.0,89,24.371307
-52.0,58,24.422409
-24.0,35,24.452433
-39.0,45,24.490884
-30.0,41,24.528531
-14.0,20,24.5455
-40.0,51,24.587701
-42.0,53,24.635888
-46.0,52,24.678033
-44.0,55,24.728162
-155.0,161,24.870579
-153.0,159,25.026977
-20.0,31,25.058406
-20.0,26,25.084438
-57.0,63,26.157495
0.0,6,26.162584
-50.0,56,26.2122
-185.0,191,26.374928
-31.0,42,26.414359
-31.0,42,26.44904
-76.0,87,26.524213
-99.0,110,26.621167
-18.0,29,26.646161
-67.0,73,26.711319
-109.0,120,26.820023
-59.0,70,26.878996
-12.0,23,26.898979
-30.0,36,26.932111
-41.0,52,26.976713
-81.0,92,27.056618
-128.0,134,27.175797
-33.0,44,27.212527
-86.0,97,27.301538
-17.0,23,27.320245
-86.0,97,27.408657
-17.0,23,27.429189
-32.0,38,27.464075
-35.0,46,27.519987
-156.0,162,27.663984
-75.0,81,27.73238
-33.0,44,27.772117
-51.0,57,27.824078
-9.0,15,27.838168
-30.0,41,27.874541
-35.0,41,27.912863
-10.0,21,27.930231
6.0,5,27.93427
2.0,4,27.937636
-18.0,24,28.93951
-14.0,20,28.958118
-84.0,90,29.041809
-14.0,20,29.058965
-49.0,55,29.135064
-42.0,53,29.182745
-40.0,46,29.223406
-24.0,30,29.253072
-35.0,41,29.28828
-9.0,15,29.301246
-13.0,19,29.316556
-38.0,44,29.35534
-51.0,62,29.406563
-41.0,52,29.459775
-26.0,32,29.489975
-168.0,179,29.639693
-85.0,91,29.719844
-23.0,34,29.748759
-56.0,67,29.808507
-89.0,95,29.902031
-56.0,67,29.963066
-17.0,23,29.986153
-45.0,56,30.03406
-41.0,47,30.074389
-150.0,161,30.216185
-59.0,70,30.277381
-74.0,85,30.363016
-75.0,81,30.446141
-31.0,37,30.486053
-31.0,37,30.524722
-40.0,46,30.573536
-58.0,64,30.638685
-45.0,51,30.689005
-30.0,36,30.72726
-121.0,132,31.894809
-23.0,34,31.928375
-40.0,51,31.976965
-9.0,15,31.991788
-32.0,43,32.034112
-46.0,52,32.083749
-42.0,48,32.132017
-20.0,26,32.154315
-30.0,36,32.187831
-54.0,65,32.249946
5.0,6,32.256205
-135.0,141,32.389123
-66.0,72,32.453529
-27.0,38,32.494496
-14.0,25,32.520783
-42.0,48,32.569455
-15.0,26,32.598071
-46.0,52,32.652084
-37.0,43,32.69746
-35.0,41,32.738898
-134.0,140,32.87137
-27.0,38,32.908677
-20.0,31,32.939246
-30.0,36,32.974044
-33.0,39,33.013509
-6.0,12,33.027308
-11.0,17,33.042382
3.0,8,33.049326
-56.0,67,33.122977
-57.0,63,33.182846
-18.0,24,33.204277
-25.0,31,33.233528
-118.0,129,33.348183
-38.0,44,33.3872
-76.0,87,33.471564
-29.0,35,33.502849
-16.0,27,33.525941
-44.0,55,33.576783
-36.0,42,33.613108
-90.0,101,33.707595
-27.0,33,33.736935
-3.0,14,33.751382
-28.0,34,33.783467
-49.0,55,33.830277
-33.0,44,34.790269
-48.0,54,34.841968
-52.0,58,34.893079
-81.0,92,34.973243
-46.0,52,35.016835
-58.0,64,35.073259
-85.0,91,35.151133
-30.0,36,35.184357
-31.0,37,35.216452
-167.0,173,35.366119
-27.0,38,35.398541
-15.0,21,35.416959
-39.0,50,35.471353
-9.0,15,35.487305
-16.0,22,35.509949
-50.0,56,35.565643
-44.0,55,35.621379
-47.0,53,35.672741
-54.0,65,35.733194
-26.0,37,35.771539
-78.0,89,35.853023
-13.0,24,35.879614
-27.0,33,35.91002
-23.0,34,35.941978
-10.0,16,35.968656
-28.0,39,36.020339
-35.0,41,36.06293
-19.0,25,36.090881
-110.0,121,36.232803
-31.0,42,36.282543
-18.0,29,36.312866
-29.0,35,36.347622
-53.0,64,36.407281
-34.0,45,36.447589
-47.0,58,36.50031
-67.0,78,36.569193
-40.0,51,36.615535
-32.0,38,36.648733
-63.0,74,36.712208
-35.0,41,37.684583
-51.0,57,37.733764
-90.0,101,37.822189
-16.0,27,37.845074
-61.0,67,37.907855
-44.0,55,37.952618
-50.0,56,38.005695
-15.0,26,38.027991
-60.0,71,38.090946
-15.0,21,38.109166
-54.0,65,38.165777
