#{"t_start": 1709045467.611956, "env_id": "None"}
r,l,t
-201.0,201,0.526639
-201.0,201,1.242346
-201.0,201,1.720234
-201.0,201,2.17582
-201.0,201,2.619983
-201.0,201,3.247267
-201.0,201,3.715594
-201.0,201,4.200266
-201.0,201,4.709206
-201.0,201,5.374628
-201.0,201,7.604862
-201.0,201,8.076223
-201.0,201,8.624468
-201.0,201,9.090618
-201.0,201,9.734903
-201.0,201,10.193283
-201.0,201,10.668827
-201.0,201,11.156694
-201.0,201,11.800679
-201.0,201,12.266649
-201.0,201,14.297819
-201.0,201,14.809185
-201.0,201,15.434656
-201.0,201,15.923062
-201.0,201,16.413317
-201.0,201,16.916564
-201.0,201,17.56129
-201.0,201,18.024054
-201.0,201,18.485456
-201.0,201,18.971262
